Date,AMBA,IREN,BABA,AFRM,DOOO,ADSK,CIFR,SATS,S,EQX,NXE,MIAX,NG,PRVA,SSRM,HL,CELH,HMY,OS,CNXC,BIDU,CDE,JOYY,GH,BTDR,COO,GFI,GSAT,SBSW,IAG,SOUN,HCC,NGD,BHC,BILI,AEM,SJM,BF-A,OLN,MOH,KGC,FSM,BF-B,BTU,HP,WPM,UPWK,EMN,SNDK,TD
2024-09-01,56.40999984741211,8.4399995803833,104.35618591308594,40.81999969482422,58.76689910888672,275.4800109863281,3.869999885559082,24.81999969482422,23.920000076293945,6.090000152587891,6.53000020980835,,4.099999904632568,18.209999084472656,5.679999828338623,6.639759540557861,31.360000610351562,10.042464256286621,33.900001525878906,49.95601272583008,105.29000091552734,6.880000114440918,34.73515319824219,22.940000534057617,7.829999923706055,110.33999633789062,14.89077377319336,18.600000381469727,4.110000133514404,5.230000019073486,4.659999847412109,63.51872253417969,2.880000114440918,8.15999984741211,23.3799991607666,79.56681060791016,116.38941192626953,46.92559814453125,46.54402160644531,344.55999755859375,9.273228645324707,4.630000114440918,48.019775390625,26.100915908813477,29.118043899536133,60.68281936645508,10.449999809265137,107.97769165039062,,60.25476837158203
2024-10-01,56.189998626708984,9.119999885559082,96.35148620605469,43.849998474121094,48.756011962890625,283.79998779296875,4.929999828338623,25.059999465942383,25.790000915527344,5.539999961853027,7.360000133514404,,3.4600000381469727,18.360000610351562,6.170000076293945,6.460575580596924,30.079999923706055,10.704061508178711,29.520000457763672,41.43667984008789,91.2300033569336,6.440000057220459,32.63608932495117,21.8799991607666,7.789999961853027,104.68000030517578,16.182167053222656,15.75,4.670000076293945,5.539999961853027,5.03000020980835,62.75331115722656,2.75,9.199999809265137,22.1200008392334,85.2261734008789,109.09466552734375,42.7372932434082,39.802024841308594,321.2200012207031,9.986554145812988,4.96999979019165,43.18027114868164,25.83538246154785,32.16193771362305,65.58076477050781,13.5600004196167,102.16374206542969,,52.64434814453125
2024-11-01,71.55000305175781,13.510000228881836,85.91783142089844,70.01000213623047,48.22164535522461,291.8999938964844,6.699999809265137,25.290000915527344,27.950000762939453,5.650000095367432,8.4399995803833,,3.6600000858306885,21.479999542236328,5.809999942779541,5.494973182678223,28.450000762939453,9.122093200683594,29.889999389648438,44.13597869873047,85.05000305175781,6.460000038146973,37.23677062988281,35.61000061035156,14.270000457763672,104.45999908447266,14.228132247924805,29.25,4.090000152587891,5.5,9.3100004196167,69.90042114257812,2.75,8.369999885559082,19.170000076293945,83.37921905517578,113.20817565917969,40.560218811035156,41.31534194946289,297.8999938964844,9.619983673095703,4.78000020980835,41.267906188964844,23.455421447753906,33.147857666015625,61.92469024658203,16.969999313354492,101.8040542602539,,54.48273468017578
2024-12-01,72.73999786376953,9.819999694824219,83.3807144165039,60.900001525878906,50.33932113647461,295.57000732421875,4.639999866485596,22.899999618530273,22.200000762939453,5.019999980926514,6.599999904632568,,3.3299999237060547,19.549999237060547,6.960000038146973,4.899923801422119,26.34000015258789,8.149334907531738,28.520000457763672,42.48640060424805,84.30999755859375,5.71999979019165,40.11219787597656,30.549999237060547,21.670000076293945,91.93000030517578,12.961445808410645,31.049999237060547,3.299999952316284,5.159999847412109,19.84000015258789,53.982234954833984,2.4800000190734863,8.0600004196167,18.110000610351562,77.61737823486328,106.87876892089844,36.961181640625,32.94202423095703,291.04998779296875,9.21175479888916,4.289999961853027,37.24702835083008,20.649555206298828,30.87761116027832,56.01218795776367,16.350000381469727,88.77718353271484,,51.311885833740234
2025-01-01,76.72000122070312,10.220000267028809,97.19718170166016,61.06999969482422,47.44883346557617,311.3399963378906,5.730000019073486,27.65999984741211,23.950000762939453,6.070000171661377,6.559999942779541,,3.130000114440918,22.850000381469727,8.029999732971191,5.668343544006348,24.979999542236328,11.186724662780762,29.780000686645508,51.33323287963867,90.5999984741211,6.599999904632568,41.54991149902344,46.97999954223633,18.520000457763672,96.55000305175781,16.62403678894043,22.950000762939453,3.809999942779541,6.239999771118164,14.149999618530273,52.519222259521484,3.0199999809265137,7.429999828338623,16.719999313354492,92.23577880859375,103.74384307861328,32.840946197509766,28.5465087890625,310.4100036621094,11.209124565124512,5.070000171661377,32.53569412231445,17.89825439453125,30.462953567504883,62.21695327758789,15.760000228881836,97.69847106933594,,55.003177642822266
2025-02-01,61.43000030517578,8.239999771118164,130.30755615234375,64.1500015258789,39.3504753112793,274.2099914550781,4.079999923706055,31.229999542236328,20.6299991607666,6.420000076293945,5.289999961853027,,3.0,24.969999313354492,9.989999771118164,5.119472026824951,25.690000534057617,9.876477241516113,23.299999237060547,44.61995315551758,86.44999694824219,5.150000095367432,44.847068786621094,42.54999923706055,12.3100004196167,90.37999725341797,17.645240783691406,21.59000015258789,3.190000057220459,5.519999980926514,10.819999694824219,47.911224365234375,2.7200000286102295,7.440000057220459,20.34000015258789,95.55046081542969,107.27669525146484,32.55511474609375,24.74550437927246,301.1199951171875,10.652643203735352,4.320000171661377,32.63426208496094,13.598727226257324,25.564193725585938,68.64082336425781,15.930000305175781,95.93372344970703,,58.52235412597656
2025-03-01,50.33000183105469,6.090000152587891,130.03221130371094,45.189998626708984,33.55459213256836,261.79998779296875,2.299999952316284,25.579999923706055,18.18000030517578,6.880000114440918,4.489999771118164,,2.9200000762939453,22.450000762939453,10.029999732971191,5.548589706420898,35.619998931884766,14.66086196899414,21.34000015258789,54.974632263183594,92.02999877929688,5.920000076293945,40.23680114746094,42.599998474121094,8.829999923706055,84.3499984741211,21.69078254699707,20.860000610351562,4.579999923706055,6.25,8.119999885559082,47.57558059692383,3.7100000381469727,6.46999979019165,19.110000610351562,108.04304504394531,116.1171875,32.988792419433594,23.62469482421875,329.3900146484375,12.530767440795898,6.099999904632568,33.45233154296875,13.425583839416504,25.42098617553711,77.31553649902344,13.050000190734863,86.38446807861328,47.61000061035156,58.551658630371094
2025-04-01,47.9900016784668,6.110000133514404,117.44496154785156,49.7599983215332,33.63398361206055,274.25,2.8499999046325684,22.479999542236328,18.5,6.699999809265137,5.230000019073486,,4.230000019073486,23.479999542236328,10.640000343322754,5.712469100952148,34.959999084472656,15.792437553405762,21.399999618530273,50.44940185546875,87.81999969482422,5.550000190734863,39.45085144042969,47.22999954223633,9.569999694824219,81.66999816894531,22.540000915527344,19.219999313354492,4.650000095367432,7.079999923706055,9.289999961853027,47.67527770996094,3.9800000190734863,5.300000190734863,17.5,117.18199920654297,114.01861572265625,34.330509185791016,21.239837646484375,327.010009765625,14.706900596618652,6.25,34.558650970458984,12.226694107055664,18.384471893310547,83.18167877197266,13.149999618530273,76.19049835205078,32.11000061035156,62.30271530151367
2025-05-01,52.63999938964844,8.390000343322754,111.94786834716797,51.900001525878906,43.85727310180664,296.1199951171875,3.119999885559082,17.729999542236328,17.610000610351562,6.630000114440918,6.179999828338623,,3.5799999237060547,22.760000228881836,11.829999923706055,5.133233070373535,37.880001068115234,14.59000015258789,28.059999465942383,55.65837860107422,81.9000015258789,8.079999923706055,46.976966857910156,40.619998931884766,12.859999656677246,68.27999877929688,23.0,18.459999084472656,6.090000152587891,6.860000133514404,10.109999656677246,45.31245422363281,4.449999809265137,4.53000020980835,18.299999237060547,117.59060668945312,110.42948913574219,32.96165466308594,19.068696975708008,305.0400085449219,14.69693660736084,5.849999904632568,33.07076644897461,13.039164543151855,14.841885566711426,86.58262634277344,15.489999771118164,77.54609680175781,37.689998626708984,68.33527374267578
2025-06-01,66.06999969482422,14.569999694824219,111.5250244140625,69.13999938964844,48.312774658203125,309.57000732421875,4.78000020980835,27.700000762939453,18.280000686645508,5.75,6.940000057220459,,4.090000152587891,23.0,12.739999771118164,5.986884117126465,46.38999938964844,13.970000267028809,28.299999237060547,52.5654182434082,85.76000213623047,8.859999656677246,49.94982147216797,52.040000915527344,11.479999542236328,71.16000366210938,23.670000076293945,23.549999237060547,7.21999979019165,7.349999904632568,10.729999542236328,45.7685661315918,4.949999809265137,6.659999847412109,21.450000762939453,118.93000030517578,97.2306900024414,27.248167037963867,19.91748046875,297.8999938964844,15.605424880981445,6.539999961853027,26.692689895629883,13.365059852600098,14.953460693359375,89.80000305175781,13.4399995803833,73.8750991821289,45.349998474121094,72.68972778320312
